
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     0  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
       1   0.0000     
       2 -0.20233E-003
       3 -0.38952E-003
       4 -0.59753E-003
       5 -0.77515E-003
       6 -0.95263E-003
       7 -0.10793E-002
       8 -0.11861E-002
       9 -0.12215E-002
      10 -0.11861E-002
      11 -0.10793E-002
      12 -0.95263E-003
      13 -0.77515E-003
      14 -0.59753E-003
      15 -0.38952E-003
      16 -0.20233E-003
      17   0.0000     
      18 -0.50592E-005
      19 -0.20233E-003
      20 -0.38955E-003
      21 -0.59753E-003
      22 -0.77513E-003
      23 -0.95263E-003
      24 -0.10793E-002
      25 -0.11861E-002
      26 -0.12214E-002
      27 -0.11861E-002
      28 -0.10793E-002
      29 -0.95263E-003
      30 -0.77513E-003
      31 -0.59753E-003
      32 -0.38955E-003
      33 -0.20233E-003
      34 -0.50592E-005
      35  0.38331E-007
      36 -0.17814E-003
      37 -0.38686E-003
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     0  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
      38 -0.57465E-003
      39 -0.77256E-003
      40 -0.92970E-003
      41 -0.10766E-002
      42 -0.11617E-002
      43 -0.12215E-002
      44 -0.11617E-002
      45 -0.10766E-002
      46 -0.92970E-003
      47 -0.77256E-003
      48 -0.57465E-003
      49 -0.38686E-003
      50 -0.17814E-003
      51  0.38331E-007
      52   0.0000     
      53 -0.17814E-003
      54 -0.38683E-003
      55 -0.57465E-003
      56 -0.77257E-003
      57 -0.92970E-003
      58 -0.10766E-002
      59 -0.11617E-002
      60 -0.12165E-002
      61 -0.11617E-002
      62 -0.10766E-002
      63 -0.92970E-003
      64 -0.77257E-003
      65 -0.57465E-003
      66 -0.38683E-003
      67 -0.17814E-003
      68   0.0000     

 MAXIMUM ABSOLUTE VALUES
 NODE         43
 VALUE  -0.12215E-002

